,names,description,url,id,image,public
891,Contemporary Christmas,"A collection of traditional carols and new classics by the biggest, brightest stars! Cover: Christina Perri",https://open.spotify.com/playlist/37i9dQZF1DWWTuLtC3XxmA,37i9dQZF1DWWTuLtC3XxmA,https://i.scdn.co/image/ab67706f000000033638210336ec4bf5c54bcea5,True
892,Acoustic Christmas,Have yourself a folksy little Christmas now...,https://open.spotify.com/playlist/37i9dQZF1DX2uk5oHRWimT,37i9dQZF1DX2uk5oHRWimT,https://i.scdn.co/image/ab67706f0000000397980598c16cbebe4b6fc8fc,True
893,Christmas Stories,A collection of classic Christmas tales.,https://open.spotify.com/playlist/37i9dQZF1DWVzrEOEOM5Qu,37i9dQZF1DWVzrEOEOM5Qu,https://i.scdn.co/image/ab67706f00000003a015275667144b41a8e47f0c,True
894,FriendsGiving,Enjoy the company of friends alongside some folksy acoustics perfect for an autumn dinner party.,https://open.spotify.com/playlist/7a80QjnKAMnZu5Lx50INeh,7a80QjnKAMnZu5Lx50INeh,https://i.scdn.co/image/ab67706c0000bebb5c7f7dceec55bf4f003bdbd4,True
895,Give Thanks,What are you thankful for this Thanksgiving? These are the songs that make us feel grateful....,https://open.spotify.com/playlist/37i9dQZF1DX6afkUGYYDyK,37i9dQZF1DX6afkUGYYDyK,https://i.scdn.co/image/ab67706f0000000310badcadb8b8f0ddaeb4efa8,True
896,Coping With Loss,When someone you love becomes a memory... find solace in these songs.,https://open.spotify.com/playlist/37i9dQZF1DWVxpHBekDUXK,37i9dQZF1DWVxpHBekDUXK,https://i.scdn.co/image/ab67706f000000038cedf2aeff180dcb4cb852d9,True
897,Noir,Deep + Dark. Heavy + haunting. Edgy + electric. Bold + bare. Cover: Fenne Lily,https://open.spotify.com/playlist/37i9dQZF1DX9LT7r8qPxfa,37i9dQZF1DX9LT7r8qPxfa,https://i.scdn.co/image/ab67706f0000000339f96ed7f1aaf327a7db94a2,True
898,Next Classical,"50 best tracks of 20/21st century <a href=""https://open.spotify.com/genre/classical"">classical</a> music. Cover: Arditti Quartet.",https://open.spotify.com/playlist/37i9dQZF1DX6Oqe1LC2A2s,37i9dQZF1DX6Oqe1LC2A2s,https://i.scdn.co/image/ab67706f000000037115ff605eaf6752f29a24ef,True
899,Medieval 50: Spotify Picks,"Medieval music from early Gregorian chants to late Ars Nova. Secular troubadours and sacred choir music. Colorful, gothic and beautiful. Hear music by Wolkenstein, von Bingen, Machaut and Léonin.",https://open.spotify.com/playlist/37i9dQZF1DWYZW76Iw4Lij,37i9dQZF1DWYZW76Iw4Lij,https://i.scdn.co/image/ab67706f000000031b70cfd42172226fa52b9364,True
900,Modernism 50: Spotify Picks,The best Modernist music from the early 20th century. Impressionism with Ravel and Debussy. Expressionism with Schoenberg and Webern. Neoclassical with Stravinsky and Bartok.,https://open.spotify.com/playlist/37i9dQZF1DX8ONeLSIu0Ai,37i9dQZF1DX8ONeLSIu0Ai,https://i.scdn.co/image/ab67706f00000003ebf8428a9a023aef754fef58,True
901,Date Night Classical,Add a touch of class to your date night with these chilled classical tunes.,https://open.spotify.com/playlist/37i9dQZF1DX1FuwERxHNIM,37i9dQZF1DX1FuwERxHNIM,https://i.scdn.co/image/ab67706f00000003af3d938bea353a90b1276898,True
902,Classical Intimate Dinner,Classical music to set the mood for your intimate dinners together with love ones and friends.,https://open.spotify.com/playlist/37i9dQZF1DX5kUFcXez8kt,37i9dQZF1DX5kUFcXez8kt,https://i.scdn.co/image/ab67706f00000003dccce5e92c89c82cdde78f7f,True
903,Indie Classical: Composed In 21st Century,"50 highlights of classical music composed in the new millennium. Find more <a href=""https://open.spotify.com/user/spotify/playlist/1SBY0rHT0QjEtrzSNFzpMM"">contemporary</a>, <a href=""spotify:user:danielstahl:playlist:7ijkPw3lLKPW6k3qee38Ki"">avant-garde</a> and <a href=""spotify:user:spotify:playlist:5YuLa2rxwWrILo5KKHGCwX"">minimalism</a> playlists at our <a href=""http://open.spotify.com/genre/classical"">Classical Hub</a>.",https://open.spotify.com/playlist/37i9dQZF1DXcbK8HZQNxAq,37i9dQZF1DXcbK8HZQNxAq,https://i.scdn.co/image/ab67706f000000031cff138fe4cbdfb4c3902bce,True
904,Women of Classical,"From the sacred works Hildegarde von Bingen and madrigals of Barbra Strozzi, to the modern symphonies of Florence Price and the looped strings of Zoe Keating; celebrate the great women composers who continue to transform the classical world.",https://open.spotify.com/playlist/37i9dQZF1DX5hL1aT2vhMb,37i9dQZF1DX5hL1aT2vhMb,https://i.scdn.co/image/ab67706f00000003ef89d3e9e485c817b3f1bebd,True
905,Minimalism,"Including genre-defining classics (Steve Reich, Philip Glass), postminimalism (Paul Dresher, Louis Andriessen), holy minimalism (Henryk Górecki, Arvo Pärt) and more.",https://open.spotify.com/playlist/37i9dQZF1DX10uaP8FoDNe,37i9dQZF1DX10uaP8FoDNe,https://i.scdn.co/image/ab67706f000000033eb100d3c726e9ceb34a3fb1,True
906,Contemporary Chinese Classical,"A collection of contemporary classical from Chinese and Chinese-born composers and musicians, from Bright Sheng and Chen Yi to Qu Xiaosong and Zhu Jianer.",https://open.spotify.com/playlist/37i9dQZF1DX5AviTMPF0km,37i9dQZF1DX5AviTMPF0km,https://i.scdn.co/image/ab67706f00000003340606ac92d010be08c0f562,True
907,This Is Chopin,"Discover the unforgettable melodies of Chopin, including moving ballades, relaxing nocturnes and vibrant concertos.",https://open.spotify.com/playlist/37i9dQZF1DWV7cvDzE3MOI,37i9dQZF1DWV7cvDzE3MOI,https://i.scdn.co/image/ab67706f00000003013cafb36edf5743d0d42c74,True
908,Bellini's Opera,"Lend some gravitas to the moment with the complete works of Vincenzo Bellini, featuring acclaimed recordings of his entire operatic oeuvre and large scale sacred choral pieces.
",https://open.spotify.com/playlist/1M2abQkxCwrLjzLGgKWnDP,1M2abQkxCwrLjzLGgKWnDP,https://i.scdn.co/image/ab67706c0000bebb29207a35d8852acb3cb39948,True
909,Haunting Choral,"Hauntingly beautiful choral pieces, guaranteed to give you goosebumps.",https://open.spotify.com/playlist/37i9dQZF1DWSXyN2w7ILMl,37i9dQZF1DWSXyN2w7ILMl,https://i.scdn.co/image/ab67706f000000037f2d7dd682af792e366b7c46,True
910,Essence of the Renaissance,Travel through the evolution of the Renaissance sound with this collection of choral and instrumental classics.,https://open.spotify.com/playlist/37i9dQZF1DX0CM2xT3aAkN,37i9dQZF1DX0CM2xT3aAkN,https://i.scdn.co/image/ab67706f000000034f7a271ce96b6170de17a6cc,True
