names,description,url,id,image,public
Rise of the Underdog,In honor of the little teams who could ,https://open.spotify.com/playlist/37i9dQZF1DX0IbLOJtWiun,37i9dQZF1DX0IbLOJtWiun,,True
Sax and the City,"A perfect rendezvous of funk, jazz, R&B, and soul. Cover: Eric Darius",https://open.spotify.com/playlist/37i9dQZF1DWYgA6FKKHSd6,37i9dQZF1DWYgA6FKKHSd6,https://i.scdn.co/image/ab67706f00000003f6242d8a04fadace44905e48,True
In the Name of the Blues,"Christone ""Kingfish"" Ingram is taking over",https://open.spotify.com/playlist/37i9dQZF1DXcnkReojaCnV,37i9dQZF1DXcnkReojaCnV,https://i.scdn.co/image/ab67706f0000000385c3e89f02770deb7691451c,True
String Theory,Instrumental guitar shreddery. Cover: Paul Gilbert,https://open.spotify.com/playlist/37i9dQZF1DX5Lf3LZ6Czqu,37i9dQZF1DX5Lf3LZ6Czqu,https://i.scdn.co/image/ab67706f0000000321b6cc7bbf094e9d74b1b7fb,True
The Jazz Escape,"Escape the world with the best, most relaxing Jazz.",https://open.spotify.com/playlist/7hjaw2oDqkMS2uDk5vmzAu,7hjaw2oDqkMS2uDk5vmzAu,https://mosaic.scdn.co/640/ab67616d0000b2730ebc17239b6b18ba88cfb8caab67616d0000b2732def9ef3f6a82c8d6fd8c143ab67616d0000b27386ae75aef90b01b817da4378ab67616d0000b273cc917c8d7b1e543bae717e7a,True
Workday - Country,Get through your workday with 8 hours of country music.,https://open.spotify.com/playlist/6MtNKlWguIlTJ6Q7WAcDtU,6MtNKlWguIlTJ6Q7WAcDtU,https://mosaic.scdn.co/640/ab67616d0000b2732d89b40a88123503d19511dcab67616d0000b27352cf9f626e672ceca9b7c6f8ab67616d0000b2735675d223120f8079db4a595cab67616d0000b273c94eed6cd767185fd7bf1d0c,True
Workday - Singer-songwriter,Get through your workday with 8 hours of singer-songwriter tunes.,https://open.spotify.com/playlist/3TurM2x1HaeNEztqBnomV6,3TurM2x1HaeNEztqBnomV6,https://i.scdn.co/image/ab67706c0000bebb87f696c4bc9419d49717150d,True
’80s Hard Rock,"Hair goals, spandex and epic guitar solos. We got you. Celebrating the life and legacy of Eddie Van Halen.",https://open.spotify.com/playlist/37i9dQZF1DX68H8ZujdnN7,37i9dQZF1DX68H8ZujdnN7,https://i.scdn.co/image/ab67706f000000039205ddd6990d57d56db91b81,True
Tunigo Live,,https://open.spotify.com/playlist/5rqcJUB5ox8BK3L3Ki7gfF,5rqcJUB5ox8BK3L3Ki7gfF,https://mosaic.scdn.co/640/ab67616d0000b2730dba8882dd67db1e0561be80ab67616d0000b27316667761b90f600c1d7b08e6ab67616d0000b2731d97ca7376f835055f828139ab67616d0000b2731dacfbc31cc873d132958af9,True
Top 50 - United Kingdom,Your daily update of the most played tracks right now - United Kingdom.,https://open.spotify.com/playlist/37i9dQZEVXbLnolsZ8PSNw,37i9dQZEVXbLnolsZ8PSNw,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_gb_large.jpg,True
Top 50 - Denmark,Your daily update of the most played tracks right now - Denmark.,https://open.spotify.com/playlist/37i9dQZEVXbL3J0k32lWnN,37i9dQZEVXbL3J0k32lWnN,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_dk_large.jpg,True
Top 50 - Spain,Your daily update of the most played tracks right now - Spain.,https://open.spotify.com/playlist/37i9dQZEVXbNFJfN1Vw8d9,37i9dQZEVXbNFJfN1Vw8d9,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_es_large.jpg,True
Top 50 - Finland,Your daily update of the most played tracks right now - Finland.,https://open.spotify.com/playlist/37i9dQZEVXbMxcczTSoGwZ,37i9dQZEVXbMxcczTSoGwZ,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_fi_large.jpg,True
Top 50 - France,Your daily update of the most played tracks right now - France.,https://open.spotify.com/playlist/37i9dQZEVXbIPWwFssbupI,37i9dQZEVXbIPWwFssbupI,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_fr_large.jpg,True
Top 50 - Netherlands,Your daily update of the most played tracks right now - Netherlands.,https://open.spotify.com/playlist/37i9dQZEVXbKCF6dqVpDkS,37i9dQZEVXbKCF6dqVpDkS,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_nl_large.jpg,True
Top 50 - Norway,Your daily update of the most played tracks right now - Norway.,https://open.spotify.com/playlist/37i9dQZEVXbJvfa0Yxg7E7,37i9dQZEVXbJvfa0Yxg7E7,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_no_large.jpg,True
Top 50 - Sweden,Your daily update of the most played tracks right now - Sweden.,https://open.spotify.com/playlist/37i9dQZEVXbLoATJ81JYXz,37i9dQZEVXbLoATJ81JYXz,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_se_large.jpg,True
Top 50 - USA,Your daily update of the most played tracks right now - USA.,https://open.spotify.com/playlist/37i9dQZEVXbLRQDuF5jeBp,37i9dQZEVXbLRQDuF5jeBp,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_us_large.jpg,True
Top 50 - Austria,Your daily update of the most played tracks right now - Austria.,https://open.spotify.com/playlist/37i9dQZEVXbKNHh6NIXu36,37i9dQZEVXbKNHh6NIXu36,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_at_large.jpg,True
Top 50 - Switzerland,Your daily update of the most played tracks right now - Switzerland.,https://open.spotify.com/playlist/37i9dQZEVXbJiyhoAPEfMK,37i9dQZEVXbJiyhoAPEfMK,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_ch_large.jpg,True
Top 50 - Belgium,Your daily update of the most played tracks right now - Belgium.,https://open.spotify.com/playlist/37i9dQZEVXbJNSeeHswcKB,37i9dQZEVXbJNSeeHswcKB,https://charts-images.scdn.co/assets/locale_en/regional/daily/region_be_large.jpg,True
