names,id,url,mean_valence,med_valence,sd_valence,quant1_valence,quant3_valence,mean_danceability,med_danceability,sd_danceability,quant1_danceability,quant3_danceability,mean_energy,med_energy,sd_energy,quant1_energy,quant3_energy,mean_acousticness,med_acousticness,sd_acousticness,quant1_acousticness,quant3_acousticness,mean_speechiness,med_speechiness,sd_speechiness,quant1_speechiness,quant3_speechiness,mean_instrumentalness,med_instrumentalness,sd_instrumentalness,quant1_instrumentalness,quant3_instrumentalness
Spotify Singles: Covers,37i9dQZF1DWZqyWCBK6QTt,https://open.spotify.com/playlist/37i9dQZF1DWZqyWCBK6QTt,0.3698327485380117,0.342,0.19831808639610474,0.21,0.551,0.5712807017543859,0.569,0.1228506153188112,0.4915,0.648,0.39122222222222225,0.368,0.17554867861106643,0.271,0.501,0.5371465497076023,0.641,0.3381366576667272,0.189,0.8745,0.05010409356725146,0.0376,0.04872822271565513,0.0325,0.04835,0.015473291520467837,1.67e-05,0.07872587138771506,0.0,0.000606
Best of 2016: Folk & Americana,0fmNiEOXSfBfurQwf4gG5L,https://open.spotify.com/playlist/0fmNiEOXSfBfurQwf4gG5L,0.4147935897435897,0.399,0.17499852227191284,0.283,0.512,0.5505448717948719,0.564,0.12741911250513543,0.47624999999999995,0.664,0.4706923076923077,0.458,0.1796189588881406,0.354,0.613,0.4681776602564102,0.5325,0.31147180874525177,0.177,0.73,0.03838974358974359,0.032100000000000004,0.020059074624033366,0.02875,0.0431,0.035148391217948716,0.0008655,0.0907097926840939,4.57e-05,0.01115
Best of 2016:  Hot Country,7g3zHOim2XylTlM7Oittr8,https://open.spotify.com/playlist/7g3zHOim2XylTlM7Oittr8,0.48670512820512823,0.512,0.16455805504396764,0.395,0.6134999999999999,0.5403076923076922,0.546,0.08257217349787903,0.49875,0.6005,0.6901282051282053,0.743,0.1795190804151476,0.58075,0.8167499999999999,0.19031970512820515,0.14100000000000001,0.16544176729201163,0.0457,0.256,0.04052307692307691,0.03505,0.01855203229023446,0.031650000000000005,0.0416,0.010796078205128205,0.0,0.05159139733041738,0.0,4.055e-06
Guest List: Orb,2O0Nf9Mi5tM17PM7Ns6Fgu,https://open.spotify.com/playlist/2O0Nf9Mi5tM17PM7Ns6Fgu,0.33175641025641023,0.29,0.16320321977421084,0.2105,0.437,0.5517692307692308,0.555,0.10383728707085338,0.473,0.6275,0.8334871794871795,0.845,0.1020040948081244,0.785,0.914,0.04377435897435898,0.0124,0.06614490997463038,0.00476,0.06745000000000001,0.07616923076923077,0.0562,0.05237425117588621,0.0455,0.09315,0.0963619964102564,0.00128,0.22285503248090646,2.51e-05,0.01268
Fangirls Run the World,37i9dQZF1DXboQCHLEaHcr,https://open.spotify.com/playlist/37i9dQZF1DXboQCHLEaHcr,0.6356363636363637,0.649,0.1694474696656063,0.59,0.747,0.7247402597402596,0.743,0.1335715265314118,0.638,0.84,0.7152077922077921,0.685,0.10790497008971142,0.675,0.819,0.05846270129870129,0.0358,0.07191350053162644,0.00564,0.0761,0.10847012987012984,0.0678,0.0882474437753165,0.0521,0.0953,0.0007102009090909091,7.78e-06,0.0011638515246383922,0.0,0.000717
Black Lives Matter,37i9dQZF1DWWAqc46ZJdZf,https://open.spotify.com/playlist/37i9dQZF1DWWAqc46ZJdZf,0.4930725274725276,0.486,0.23920276617962707,0.312,0.666,0.6210989010989011,0.638,0.19008939738654285,0.538,0.7705,0.5441032967032967,0.56,0.19880831664391901,0.404,0.657,0.31015527472527477,0.172,0.3023506800291515,0.04815,0.5085,0.14597472527472524,0.0818,0.13061123194291488,0.0436,0.2385,0.02027776208791209,2.04e-06,0.07382812299798013,0.0,0.0011135
SXSW: HipHopUpNext,37i9dQZF1DX5PuwKY2VZBZ,https://open.spotify.com/playlist/37i9dQZF1DX5PuwKY2VZBZ,0.5098461538461538,0.5429999999999999,0.19506689976676048,0.40025000000000005,0.6567500000000001,0.7286153846153849,0.7424999999999999,0.12201904012835928,0.6615,0.81425,0.5874615384615385,0.58,0.12076430955186412,0.504,0.655,0.2460873076923077,0.133,0.24999086769812517,0.059699999999999996,0.43025,0.18648076923076926,0.1605,0.11482632457491886,0.1065,0.26849999999999996,0.0011971257692307692,0.0,0.005956577498058544,0.0,1.9852499999999997e-05
Women of Experimental,37i9dQZF1DWY7uXxMycXfq,https://open.spotify.com/playlist/37i9dQZF1DWY7uXxMycXfq,0.16488108108108107,0.105,0.1620068634311485,0.0391,0.214,0.3804918918918918,0.364,0.20193851426497011,0.214,0.526,0.3785972972972973,0.347,0.2449958633284408,0.196,0.523,0.5975067567567567,0.729,0.34777398439578905,0.249,0.886,0.0687108108108108,0.0426,0.07550724683316379,0.0389,0.0533,0.6134776481081082,0.819,0.36147011458783923,0.356,0.892
Power To The People,37i9dQZF1DXbWHkfjljXoE,https://open.spotify.com/playlist/37i9dQZF1DXbWHkfjljXoE,0.47766326530612246,0.431,0.20534846876090646,0.34,0.599,0.5430612244897959,0.589,0.16851871905954363,0.44,0.669,0.4316551020408163,0.413,0.2344355562313665,0.241,0.582,0.7110546938775509,0.732,0.2559861952910583,0.54,0.96,0.43672244897959184,0.349,0.348270679731361,0.0986,0.831,0.03728190836734694,0.0,0.1442031432607516,0.0,4.43e-06
Artists Den + Spotify,1HdxEroWca3L8JR3lvnolH,https://open.spotify.com/playlist/1HdxEroWca3L8JR3lvnolH,0.5642068965517242,0.609,0.2648688866091978,0.3,0.805,0.6193793103448276,0.639,0.09337421401203082,0.566,0.699,0.6112758620689657,0.713,0.2114325114464465,0.434,0.807,0.29673793103448276,0.235,0.25553786330264405,0.0886,0.584,0.04003448275862069,0.0336,0.014978658052186618,0.0297,0.0418,5.362241379310345e-05,0.0,9.728775163896798e-05,0.0,0.000122
